"eq_id","prefecture","mean_pga","max_pga"
"usb000q9sv","Aichi",NA,NA
"usb000q9sv","Akita",NA,NA
"usb000q9sv","Aomori",NA,NA
"usb000q9sv","Chiba",2.80795574188232,7.51286583682181
"usb000q9sv","Ehime",NA,NA
"usb000q9sv","Fukui",NA,NA
"usb000q9sv","Fukuoka",NA,NA
"usb000q9sv","Fukushima",NA,NA
"usb000q9sv","Gifu",NA,NA
"usb000q9sv","Gunma",0.753458857536316,0.93772575945972
"usb000q9sv","Hiroshima",NA,NA
"usb000q9sv","Hokkaido",NA,NA
"usb000q9sv","Hyogo",NA,NA
"usb000q9sv","Ibaraki",2.08751010894775,3.42800218192519
"usb000q9sv","Ishikawa",NA,NA
"usb000q9sv","Iwate",NA,NA
"usb000q9sv","Kagawa",NA,NA
"usb000q9sv","Kagoshima",NA,NA
"usb000q9sv","Kanagawa",2.58240485191345,5.21565743557694
"usb000q9sv","Kochi",NA,NA
"usb000q9sv","Kumamoto",NA,NA
"usb000q9sv","Kyoto",NA,NA
"usb000q9sv","Mie",NA,NA
"usb000q9sv","Miyagi",NA,NA
"usb000q9sv","Miyazaki",NA,NA
"usb000q9sv","Nagano",0.460621267557144,0.940074405272561
"usb000q9sv","Nagasaki",NA,NA
"usb000q9sv","Nara",NA,NA
"usb000q9sv","Niigata",NA,NA
"usb000q9sv","Oita",NA,NA
"usb000q9sv","Okayama",NA,NA
"usb000q9sv","Okinawa",NA,NA
"usb000q9sv","Osaka",NA,NA
"usb000q9sv","Saga",NA,NA
"usb000q9sv","Saitama",2.00348544120789,4.61203437116664
"usb000q9sv","Shiga",NA,NA
"usb000q9sv","Shimane",NA,NA
"usb000q9sv","Shizuoka",0.543298721313477,1.82017331658453
"usb000q9sv","Tochigi",NA,NA
"usb000q9sv","Tokushima",NA,NA
"usb000q9sv","Tokyo",2.57626295089722,6.4722934511987
"usb000q9sv","Tottori",NA,NA
"usb000q9sv","Toyama",NA,NA
"usb000q9sv","Wakayama",NA,NA
"usb000q9sv","Yamagata",NA,NA
